Item,Quantity,Note,Shelf,Date,Code
lemon,1,whole but already zested,1,01-01-2021,0121-0002
Wiener schnitzel,1,from home (4 slices each),3,01-01-2021,0121-0009
ratatouille,1,boxed (ready to eat),3,01-01-2021,0121-0011
fried shredded cabbage,2,boxed (ready to eat,3,01-01-2021,0121-0012
minced pork stew with rice,1,boxed (to be used with pleated green beans),3,01-01-2021,0121-0013
green peas,1,1kg pack unopened,4,01-01-2021,0121-0016
cabbage stew,2,Home made,2,22-Feb-2021,053-2833
Wild stew (Vadas),3,Home made,2,22-Feb-2021,053-2923
Gizzard stew,3,Home made,2,22-Feb-2021,053-3240
Duck thighs,4,Home made,2,22-Feb-2021,053-3311
Pork chops,3,Home made,2,22-Feb-2021,053-3417
Duck liver,1,Home made,2,22-Feb-2021,053-3439
Abarolt szalonna,4,Home made,2,22-Feb-2021,053-3517
Smoked cheese rolls (pack of six),1,pack of 6,1,23-Feb-2021,054-3340
potato,1,Fresh; pealed and chopped in freezer bag.,2,23-Feb-2021,054-3454
Chicken korma with rice,1,Home cooked,3,03-Jun-2021,154-2407
onion rings,1,Individual pieces in a freezer bag.,4,03-Jun-2021,154-3201
Richmond thick pork sausages,1,Pack of 12,3,03-Jun-2021,154-5821
Naked glory sausages,1,Vegetarian,3,03-Jun-2021,154-5926
Quorn scampy (10,1,Vegetarian,4,03-Jun-2021,154-0107
black forest fruit,2,330g,1,03-Jun-2021,154-0141
king prawns,1,200g; XL size,4,03-Jun-2021,154-0248
Vanilla Carte D'or,1,1l,3,03-Jun-2021,154-0400
Croissants,1,8 in the pack,1,03-Jun-2021,154-0442
Pain Au Chocolat,1,8 in a pack,1,03-Jun-2021,154-0550
