Certification,Apprentice,Intern,Specialist,Fellow
Membership status,Trainee,Trainee,Trainee,Trainee
Tasks completed,4,16,48,100
Focus,Training activities,Personal project,Team activities,Project27 projects
Active period,1 month,1 month,3 months,12 months
Minimum time commitment (per week),4 hours,16 hours,16 hours,8 hours
Regular supervision (per week),60 minutes,30 minutes,15 minutes,No
Monthly supervision credit,No,Yes (1 hour),Yes (1 hour),Yes (1 hour)
Description of support,"Trainees seeking the apprentice certification work through tasks within training activities, supervised by individual volunteers, developing fundamental skills.","Apprenticees begin working on personal projects, practicing relevant skills while receiving guidance and feedback from community members","Interns join teams, and work on team activities. Team leaders and team members highlight opportunities for improvement, ask critical questions, but do not directly influence how interns should complete tasks.","To become a fellow, team leaders help trainees to become leaders themselves by encouraging specialists to take responsibility for specific activities, and recruit team members."
Requirements,Completed onboarding, Apprentice certification,Intern certification,Specialist certification
Price (pay as you go),£200,£180,£150 per month (£450 upfront),£100 per month (£1200 upfront)
